1213	0	3
1214	0	4
1215	1	2
1216	0	2
1217	0	6
1218	1	3
1219	3	5
1220	0	6
1221	1	4
1222	0	10
1223	1	6
1224	0	5
1225	0	10
1226	1	4
1227	0	3
1228	0	5
1229	1	6
1230	1	4
1231	0	7
1232	1	8
1233	0	4
1234	1	4
1235	1	2
1236	1	5
1237	0	3
1238	0	7
1239	0	4
1240	3	10
1241	1	9
1242	2	5
1243	0	5
1244	0	7
1245	1	3
1246	0	9
1247	2	6
1248	1	5
1249	1	4
1250	2	5
1251	0	4
1252	0	5
1253	0	3
1254	1	6
1255	1	4
1256	0	2
1257	2	2
1258	3	0
1259	0	5
1260	4	5
1261	0	5
1262	0	4
1263	0	5
1264	1	4
1265	0	5
1266	0	4
1267	2	2
1268	0	2
1269	1	4
1270	1	1
1271	1	6
1272	1	6
1273	2	2
1274	1	4
1275	0	4
1276	3	8
1277	0	2
1278	1	4
1279	2	6
1280	0	4
1281	0	7
1282	0	3
1283	1	2
1284	0	2
1285	3	8
1286	1	4
1287	1	4
1288	1	3
1289	2	4
1290	0	3
1291	0	3
1292	2	3
1293	0	3
1294	1	2
1295	3	6
1296	3	2
1297	3	6
1299	1	6
1300	0	12
1301	2	4
1302	0	3
1303	0	4
1304	1	4
1305	0	5
1306	0	5
1307	0	10
1308	0	2
1309	1	3
1310	0	6
1311	1	1
1312	0	7
1313	1	3
1314	1	9
1315	1	3
1316	2	8
1317	0	4
1318	1	4
1319	0	12
1320	0	8
1321	0	1
1322	0	5
1323	1	7
1324	0	5
1325	1	5
1326	0	5
1327	0	6
1328	1	4
1329	0	5
1330	0	1
1331	0	10
1332	1	6
1333	0	1
1334	0	6
1335	1	3
1336	0	4
1337	0	3
1338	0	8
1339	1	6
1340	0	2
1341	0	12
1342	0	5
1343	0	8
1344	0	8
1345	0	8
1346	1	9
1347	3	2
1348	1	9
1349	1	8
1350	1	6
1351	2	4
1352	1	4
1353	2	2
1354	2	0
1355	1	2
1356	3	5
1357	0	3
1358	5	5
1359	1	5
1360	1	2
1361	1	2
